district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
PHEK,-0.0368340276255207,0.4229646448264677,21.61893085660263,0.5213675213675214,0.7478632478632479,0.7991452991452992,39.4,85.8,80.5,98.1,90.1,99.4,24.9,6.5 ,4.3 ,56.3
PILIBHIT,0.3491624654415352,0.3063435613266065,55.19427347665607,0.901249024199844,0.8145979703356753,0.8099141295862607,28.5,59.3,60.1,100.0,76.8,86.8,21.4,16.2 ,4.6 ,74.1
PITHORAGARH,-0.0556275373585557,0.0758143797383987,17.530671660868276,0.7816775728732898,0.8417608566329565,0.7180249851279,55.5,89.1,79.7,90.9,84.5,99.6,72.8,16.2 ,3.7 ,71.2
PORBANDAR,0.0843699296917253,0.27263251935676,28.77628653087419,0.8764705882352941,0.884313725490196,1.0,35.9,84.3,74.9,96.2,85.7,99.8,42.1,10.0 ,1.9 ,75.5
PRAKASAM,0.0970981284697125,0.3136182578033172,41.516421289411106,0.8581946222791293,0.9923175416133164,0.9964788732394366,34.5,62.8,58.1,98.6,78.4,99.3,67.6,37.3 ,16.4 ,69.0
PRATAPGARH,0.2652399004484023,0.2582603011991943,46.69749529862395,0.8598982619754133,0.6816447647308181,0.7185247986434931,23.5,55.4,57.0,88.6,46.3,97.0,84.5,30.9 ,3.2 ,72.0
PRATAPGARH,0.2652399004484023,0.2582603011991943,46.69749529862395,0.8598982619754133,0.6816447647308181,0.7185247986434931,49.7,77.7,67.2,97.8,52.0,92.5,14.9,11.0 ,0.7 ,51.9
PUDUKKOTTAI,0.0010666116157446,0.1464252150654232,25.72224826100396,0.6926977687626775,0.9934077079107504,0.9934077079107504,52.2,83.7,74.7,95.7,55.2,98.9,72.9,11.6 ,11.3 ,68.0
PULWAMA,0.048065650644783,0.0727120768909318,38.77586664515399,0.7811447811447811,0.5342312008978676,0.9595959595959596,49.4,76.6,67.2,98.0,91.6,99.1,9.9,0.5 ,0.0 ,61.8
PUNCH,0.1391370461889375,0.3319302721088435,49.72991106974265,0.5626123427201918,0.2630317555422408,0.7753145596165368,46.8,79.3,72.1,76.8,66.7,99.7,11.1,5.4 ,0.5 ,58.8
PUNE,-0.0042906329162417,0.1431770120661774,29.2866759067154,0.9059493156254236,0.912047702940778,0.9369833310746714,61.2,89.0,84.8,96.9,79.6,99.4,14.4,24.0 ,3.3 ,57.8
PURBA CHAMPARAN,0.551065217289314,0.3880470593733205,89.8411419715147,0.8004338394793926,0.1154495059050373,0.5548324897565678,20.1,50.2,58.2,99.9,48.3,94.8,19.4,49.2 ,12.7 ,49.9
PURBA MEDINIPUR,0.0674300492887798,0.4302730303336425,29.16771213686641,0.9696787751425998,0.817472230561393,0.983938757129991,30.9,77.0,83.0,87.8,69.8,99.0,21.5,57.6 ,22.0 ,59.3
PURBI SINGHBHUM,0.0184324989741485,0.2142871856139411,46.07521712873517,0.9593607305936072,0.9789954337899544,0.9853881278538812,46.8,77.4,74.1,89.7,70.2,95.7,50.7,19.8 ,3.7 ,61.0
PURI,0.010745907221956,0.1783273500864246,36.87833621068672,0.9001184366363996,0.9763126727200948,0.9557836557441768,38.1,87.7,83.3,98.5,67.3,99.5,61.5,10.2 ,4.0 ,74.4
PURNIA,0.4450641970111555,0.3346744594456472,132.1853096604029,0.9748322147651006,0.7416107382550335,0.8805369127516779,19.2,47.5,53.6,99.6,35.6,92.4,10.2,51.2 ,21.4 ,25.7
PURULIYA,-0.0585681980300201,0.4398286813965939,35.48148788498587,0.9590937696664568,0.9047619047619048,0.9660163624921334,26.9,61.0,63.6,87.6,29.2,88.6,35.6,37.0 ,12.0 ,51.0
RAE BARELI,0.2650087494952214,0.2722390927651106,46.15876147067033,0.9368363735366184,0.8290225973318813,0.8527089572556493,36.1,66.5,66.4,98.1,55.0,88.9,16.8,14.3 ,1.3 ,69.3
RAICHUR,0.0248895316140435,0.6378850932606808,75.8176827124519,0.949762658227848,0.9284018987341772,0.9746835443037974,31.7,54.3,55.3,94.0,53.0,99.7,17.8,21.9 ,8.9 ,50.1
RAIGARH,0.0760082730093071,0.2902501381978993,36.14277794451377,0.7688715953307393,0.9575875486381324,0.9299610894941636,38.3,76.0,72.2,97.5,66.3,99.0,66.3,11.5 ,1.3 ,64.1
RAIGARH,0.0760082730093071,0.2902501381978993,36.14277794451377,0.7688715953307393,0.9575875486381324,0.9299610894941636,45.0,79.2,73.7,87.8,74.8,97.9,26.3,16.0 ,7.5 ,73.6
RAIPUR,-0.0528611092300399,0.2343430343826305,43.80234279820878,0.9523809523809524,0.9590062111801242,0.9995859213250518,40.1,81.3,77.1,99.7,84.0,99.5,76.9,8.8 ,3.3 ,76.8
RAISEN,0.1615330236315896,0.4141585105600117,34.90867801606869,0.8125,0.9804447852760736,0.9585889570552149,34.6,78.6,73.3,92.4,69.6,99.3,41.0,12.6 ,1.7 ,76.3
RAJGARH,0.1466914805624483,0.3312741312741313,38.331458072368946,0.9350068775790922,0.9889958734525448,0.952200825309491,21.3,56.5,58.9,74.2,47.8,97.8,27.1,46.0 ,5.4 ,69.2
RAJKOT,0.0894829572406316,0.1953014069962566,32.08234709726439,0.8551572787125091,0.894659839063643,1.0,42.6,84.7,78.4,99.5,85.4,99.6,45.1,12.1 ,1.8 ,78.8
RAJNANDGAON,-0.1252701289647961,0.205109765329296,46.42563031184469,0.930383864671438,0.966818477553676,0.9941444372153546,38.9,82.4,73.4,98.8,79.2,99.3,80.8,3.8 ,1.4 ,73.3
RAJSAMAND,0.0167143627389988,0.1822008418520745,21.490082102036844,0.8552450755840586,0.7462207970682547,0.9665597801191022,33.9,69.7,64.2,94.8,72.1,98.9,93.2,27.5 ,3.2 ,56.6
