district,Dropout_Rate_Sec,Dropout_Rate_HSec,Avg_PTR_district_23_24,%_Schools_Func_Toilets_23_24,%_Schools_Library_23_24,%_Schools_Electricity_23_24,NFHS_Women_10_plus_School,NFHS_Women_Literate,NFHS_Female_Ever_Attended_School,NFHS_Improved_Water,NFHS_Improved_Sanitation,NFHS_Electricity,NFHS_Health_Insurance,NFHS_Early_Marriage,NFHS_Teen_Pregnancy,NFHS_Family_Planning_Modern
JAUNPUR,0.15724522292993600,0.22151315998349100,39.76371772557940,0.9062396282774640,0.737636906737471,0.8373713906405580,52.7,77.3,69.9,99.1,62.6,98.2,12.0,11.8,0.6,62.0
JAYASHANKAR BHUPALAPALLY,0.04595768530194760,0.5686097303810820,26.987643018053000,0.6574585635359120,0.7366482504604050,0.9134438305709020,36.3,58.9,52.4,95.1,65.6,99.3,71.5,24.9,13.2,64.8
JEHANABAD,0.3158103498426630,0.34621472627040000,52.80619288293170,0.8939264328485890,0.40034217279726300,0.8126603934987170,30.5,63.2,61.7,99.8,45.5,99.3,13.2,41.6,12.0,52.5
JHABUA,0.15987460815047000,0.3266403919897740,56.56498481130900,0.8632585203657520,0.999168744804655,0.7747298420615130,16.0,38.6,45.9,85.2,57.6,98.9,43.7,36.5,6.7,76.0
JHAJJAR,-0.05100974930362120,0.144878880223129,21.80014662980890,0.9069239500567540,0.985244040862656,0.9954597048808170,62.7,89.1,77.3,96.6,91.7,99.8,27.0,7.7,1.3,80.2
JHALAWAR,-0.04722554095313950,0.17830859161445000,21.732091319966900,0.8443649373881930,0.7942754919499110,0.947227191413238,22.4,56.3,55.6,92.4,62.1,99.3,93.6,37.8,5.6,74.4
JHANSI,0.18823668779245400,0.18809913196628500,34.334872240199500,0.8207401696222050,0.8454124903623750,0.9155744024672320,43.3,72.5,71.1,96.8,73.2,95.2,11.4,25.1,3.5,62.0
JHARSUGUDA,0.019672582198376600,0.3929025978887480,33.3769080687184,0.9802890932982920,1.0,1.0,40.9,81.0,77.8,88.4,70.0,98.1,37.7,8.5,1.0,81.4
JIND,-0.03522731982262010,0.15319081801688100,25.743805779967700,0.871841155234657,0.9765342960288810,0.9891696750902530,45.3,83.6,71.4,96.2,88.5,100.0,23.7,8.7,1.9,79.2
JODHPUR,-0.02247634069400630,-0.009088450094671300,26.93084487301350,0.8571428571428570,0.7886904761904760,0.9543650793650790,34.6,68.2,64.8,96.5,75.4,98.4,87.5,28.1,5.1,78.9
JOGULAMBA GADWAL,0.05350402937876160,0.5017909259750600,58.299158733108800,0.603125,0.5671875,0.9359375,27.4,45.0,47.8,97.0,73.7,99.8,61.8,34.6,15.9,75.5
JORHAT,0.0731542775224523,0.3519755511896970,29.200533788060000,0.6108442004118050,0.9375428963623890,0.9519560741249140,42.9,85.1,84.4,85.9,80.4,95.1,60.1,24.9,12.9,63.8
JUNAGADH,0.05819967021436070,0.3210027514521550,27.829447226432200,0.8796736913664170,0.8212100611828690,1.0,35.0,82.8,73.8,97.0,81.7,99.3,47.3,11.2,5.0,48.0
KACHCHH,0.3075524089440270,0.31750804083345000,40.982713901599600,0.8219560878243510,0.9716566866267470,0.9960079840319360,24.1,75.6,66.6,96.8,85.8,99.2,34.3,19.0,5.7,76.5
KAIMUR (BHABUA),0.4079494777169200,0.30989340146242600,58.688074073687500,0.8433809819763830,0.2846488502175260,0.6159105034182720,29.5,66.0,62.3,98.0,59.1,96.7,18.1,27.1,2.6,78.6
KAITHAL,-0.04430584804795080,0.13073662966700300,27.061093067384700,0.8772486772486770,0.9523809523809520,1.0,45.9,74.0,66.3,98.5,89.7,100.0,29.1,11.0,4.7,76.5
KALAHANDI,0.11216798617835200,0.3633039174896530,44.643363480642100,0.9845320959010050,1.0,0.940061871616396,26.5,63.8,62.5,96.5,64.4,97.2,48.6,16.3,1.9,75.9
KAMAREDDY,0.037311887339500200,0.3424730961118210,40.616649179932200,0.6547155105222140,0.6851130163678880,0.9134840218238500,35.6,58.6,51.1,99.4,68.2,99.5,66.5,30.8,1.1,56.8
KANCHEEPURAM,-0.026704430507788800,0.04452340220204410,25.7462484293366,0.7360959651035990,0.9803707742639040,0.9803707742639040,56.8,84.5,85.0,99.4,75.9,99.4,59.7,10.0,2.5,69.3
KANDHAMAL,0.11188980916841100,0.2469403268719120,41.516890614035900,0.9846153846153850,0.9994505494505500,0.7467032967032970,28.1,70.3,64.2,64.4,52.4,96.6,54.5,20.0,4.2,76.7
KANGRA,-0.02639538080835860,0.0686739370949897,14.954011398408300,0.9868981329839500,1.0,0.9990173599737960,69.9,94.4,84.1,98.6,73.3,99.7,36.4,1.5,0.8,59.1
KANNAUJ,0.39886595042483000,0.3068195923636450,42.838198169550800,0.888637221593054,0.7455643639109100,0.8070970177425440,37.3,68.3,71.3,99.9,70.1,87.3,15.3,10.4,1.3,69.4
KANNIYAKUMARI,0.02926199694943100,0.07373195681447710,29.65673261178220,0.8080065359477120,0.988562091503268,0.988562091503268,77.1,98.0,92.9,98.2,96.2,99.8,64.1,4.3,4.0,70.3
KANNUR,0.014702071655551500,0.1265157477688990,30.200630744441100,0.9826142949130720,0.9716677398583390,0.9987121699935610,74.1,99.1,96.7,93.9,99.5,99.7,47.9,5.4,2.4,61.9
KANPUR DEHAT,0.21839224272755700,0.26973766788000500,38.57982725469570,0.8179783662812380,0.8209623274897430,0.7142857142857140,45.4,75.6,73.9,99.4,70.6,79.8,17.9,12.7,1.9,60.1
KANPUR NAGAR,0.23712292549294400,0.18629113939497500,30.61928096254160,0.9050243799024800,0.8931524273902900,0.8895484418062330,58.5,82.7,80.4,98.8,77.5,89.3,16.1,10.9,3.4,73.7
KANSHIRAM NAGAR,0.2939739413680780,0.31236910579425000,46.847461255533300,0.9393442622950820,0.7577868852459020,0.8467213114754100,29.7,60.6,62.2,99.4,69.8,87.2,15.1,23.2,7.6,65.2
KAPURTHALA,0.05901287553648070,0.09592864178614420,38.29808888381060,0.8835616438356160,0.7798434442270060,1.0,60.3,85.3,79.2,99.4,87.7,99.8,20.7,6.9,2.5,61.0
KARAIKAL,-0.022392135445112000,0.1499522445081180,27.109720234028400,0.9244186046511630,1.0,1.0,59.0,89.6,86.3,99.9,84.3,99.6,26.9,7.2,0.6,59.7
KARAULI,0.018336314847942700,0.196329922659365,23.521636289187900,0.8146627565982410,0.726099706744868,0.9038123167155430,22.7,54.8,56.5,94.8,49.9,98.7,86.4,33.5,7.0,72.7
